,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
0,Odense Boldklub,Bashkim Kadrii,18,Left Winger,Denmark,600000,B.93,Denmark,200000,in,2010
1,Odense Boldklub,Jonas Troest,25,Centre-Back,Denmark,0,Konyaspor,Turkey,free transfer,in,2010
2,Odense Boldklub,Andreas Johansson,31,Central Midfield,Sweden,0,Aalborg BK,Denmark,free transfer,in,2010
3,Odense Boldklub,Henrik Toft,29,Centre-Forward,Denmark,0,HB Köge,Denmark,0,in,2010
4,Odense Boldklub,Kalilou Traoré,22,Defensive Midfield,Mali,0,NK Istra,Croatia,0,in,2010
5,Odense Boldklub,Daniel Höegh,19,Centre-Back,Denmark,700000,Odense BK U19,Denmark,0,in,2010
6,Odense Boldklub,Rasmus Falk,18,Central Midfield,Denmark,1500000,Odense BK U19,Denmark,0,in,2010
7,Odense Boldklub,Oliver Kirk Larsen,18,Centre-Back,Denmark,0,Odense BK U19,Denmark,0,in,2010
8,Odense Boldklub,Viljormur Davidsen,18,Left-Back,Faroe Islands,150000,Odense BK U19,Denmark,0,in,2010
9,Odense Boldklub,Emil Ousager,22,Goalkeeper,Denmark,0,Naesby BK,Denmark,"End of loanJun 30, 2010",in,2010
10,Odense Boldklub,Christian Kier,22,Goalkeeper,Denmark,0,Naesby BK,Denmark,free transfer,out,2010
11,Odense Boldklub,Jacob Mouritsen,23,Left Winger,Denmark,0,FC Svendborg,Denmark,free transfer,out,2010
12,Odense Boldklub,Mads Greve,20,Centre-Back,Denmark,250000,FC Fredericia,Denmark,free transfer,out,2010
13,Odense Boldklub,Jonas Troest,25,Centre-Back,Denmark,0,Konyaspor,Turkey,free transfer,out,2010
14,Odense Boldklub,Anders Jacobsen,20,Centre-Forward,Denmark,400000,Naestved BK,Denmark,free transfer,out,2010
15,Odense Boldklub,Henrik Hansen,31,Central Midfield,Denmark,0,SönderjyskE,Denmark,loan transfer,out,2010
16,Odense Boldklub,Esben Hansen,28,Defensive Midfield,Denmark,0,No club,No country,0,out,2010
17,Odense Boldklub,Viljormur Davidsen,19,Left-Back,Faroe Islands,150000,FC Fyn,Denmark,loan transfer,out,2010
18,FC Copenhagen,Sölvi Ottesen,26,Centre-Back,Iceland,100000,SönderjyskE,Denmark,1350000,in,2010
19,FC Copenhagen,Claudemir,22,Defensive Midfield,Brazil,900000,Vitesse,Netherlands,1000000,in,2010
20,FC Copenhagen,Christian Bolaños,26,Right Winger,Costa Rica,100000,IK Start,Norway,1000000,in,2010
21,FC Copenhagen,Kim Christensen,30,Goalkeeper,Denmark,0,IFK Göteborg,Sweden,400000,in,2010
22,FC Copenhagen,Sören Frederiksen,20,Left Winger,Denmark,0,SönderjyskE,Denmark,270000,in,2010
23,FC Copenhagen,Martin Bergvold,26,Defensive Midfield,Denmark,0,AS Livorno,Italy,free transfer,in,2010
24,FC Copenhagen,Kenneth Zohore,16,Centre-Forward,Denmark,2000000,Copenhagen U19,Denmark,0,in,2010
25,FC Copenhagen,Morten Nordstrand,27,Centre-Forward,Denmark,0,FC Groningen,Netherlands,"End of loanJun 30, 2010",in,2010
26,FC Copenhagen,Sören Frederiksen,21,Left Winger,Denmark,0,SönderjyskE,Denmark,"End of loanSep 1, 2010",in,2010
27,FC Copenhagen,Aílton,25,Centre-Forward,Brazil,125000,APOEL Nicosia,Cyprus,700000,out,2010
28,FC Copenhagen,Jesper Christiansen,32,Goalkeeper,Denmark,0,Elfsborg,Sweden,670000,out,2010
29,FC Copenhagen,Atiba Hutchinson,27,Central Midfield,Canada,600000,PSV Eindhoven,Netherlands,free transfer,out,2010
30,FC Copenhagen,Sören Frederiksen,20,Left Winger,Denmark,0,SönderjyskE,Denmark,loan transfer,out,2010
31,FC Copenhagen,Ulrik Laursen,34,Centre-Back,Denmark,0,No club,No country,0,out,2010
32,FC Copenhagen,Jacob Albrechtsen,20,Centre-Back,Denmark,0,KB (FCK II),Denmark,0,out,2010
33,Bröndby IF,Bruno Batata,25,Centre-Forward,Brazil,300000,JMalucelli,Brazil,loan transfer,in,2010
34,Bröndby IF,Brent McGrath,19,Centre-Forward,Australia,0,Bröndby IF U19,Denmark,0,in,2010
35,Bröndby IF,Beran Camili,19,Right Winger,Denmark,0,Bröndby IF U19,Denmark,0,in,2010
36,Bröndby IF,Pierre Kanstrup,21,Centre-Back,Denmark,300000,Lyngby BK,Denmark,"End of loanJun 30, 2010",in,2010
37,Bröndby IF,Stefán Gíslason,30,Defensive Midfield,Iceland,0,Viking FK,Norway,"End of loanAug 1, 2010",in,2010
38,Bröndby IF,Samuel Holmén,26,Central Midfield,Sweden,100000,Büyüksehir Bld,Turkey,1000000,out,2010
39,Bröndby IF,Jon Jönsson,26,Centre-Back,Sweden,100000,Elfsborg,Sweden,500000,out,2010
40,Bröndby IF,Jacob Berthelsen,23,Centre-Back,Denmark,0,FC Fredericia,Denmark,free transfer,out,2010
41,Lyngby BK,Jonas Henriksen,19,Centre-Back,Denmark,100000,Copenhagen U19,Denmark,free transfer,in,2010
42,Lyngby BK,Mikkel Hasling,18,Goalkeeper,Denmark,0,Copenhagen U19,Denmark,free transfer,in,2010
43,Lyngby BK,Morten Bertolt,26,Central Midfield,Denmark,0,SönderjyskE,Denmark,free transfer,in,2010
44,Lyngby BK,Mathias Tauber,25,Centre-Back,Denmark,0,Akademisk BK,Denmark,free transfer,in,2010
45,Lyngby BK,Emmanuel Ake,30,Second Striker,Kenya,0,No club,No country,0,in,2010
46,Lyngby BK,Esben Hansen,29,Defensive Midfield,Denmark,0,No club,No country,0,in,2010
47,Lyngby BK,Christopher Olczyk,19,Defensive Midfield,Denmark,0,Lyngby BK U19,Denmark,0,in,2010
48,Lyngby BK,Uffe Bech,17,Right Winger,Denmark,200000,Lyngby BK U19,Denmark,0,in,2010
49,Lyngby BK,Tino Valsö,20,Right-Back,Denmark,0,Lyngby BK II,Denmark,0,in,2010
50,Lyngby BK,Frederik Sörensen,18,Centre-Back,Denmark,650000,Lyngby BK U19,Denmark,0,in,2010
51,Lyngby BK,Rasmus Christiansen,20,Centre-Back,Denmark,150000,ÍBV,Iceland,"End of loanAug 31, 2010",in,2010
52,Lyngby BK,Morten Christiansen,32,Central Midfield,Denmark,0,No club,No country,free transfer,out,2010
53,Lyngby BK,Morten Andersen,-,attack,Denmark,0,BK Skjold,Denmark,free transfer,out,2010
54,Lyngby BK,Rasmus Christiansen,20,Centre-Back,Denmark,150000,ÍBV,Iceland,free transfer,out,2010
55,Lyngby BK,Stelian Trasborg,20,Left-Back,Bulgaria,0, Elite 3000,Denmark,free transfer,out,2010
56,Lyngby BK,Emil Scheel,20,Left Midfield,Denmark,100000,Aarhus GF II,Denmark,free transfer,out,2010
57,Lyngby BK,Christian Gytkjaer,20,Centre-Forward,Denmark,2500000,Nordsjaelland,Denmark,free transfer,out,2010
58,Lyngby BK,Frederik Sörensen,18,Centre-Back,Denmark,650000,Juventus,Italy,Loan fee:20000,out,2010
59,Lyngby BK,Nicolai Melchiorsen,26,Defensive Midfield,Denmark,0,No club,No country,0,out,2010
60,Lyngby BK,Pierre Kanstrup,21,Centre-Back,Denmark,300000,Bröndby IF,Denmark,"End of loanJun 30, 2010",out,2010
61,FC Midtjylland,Jakob Poulsen,27,Central Midfield,Denmark,0,Aarhus GF,Denmark,1000000,in,2010
62,FC Midtjylland,Kristian Bach Bak,27,Right-Back,Denmark,0,Heerenveen,Netherlands,500000,in,2010
63,FC Midtjylland,Kasper Jensen,27,Goalkeeper,Denmark,0,SC Paderborn,Germany,free transfer,in,2010
64,FC Midtjylland,Morten Nielsen,20,Centre-Forward,Denmark,100000,AZ Alkmaar U21,Netherlands,free transfer,in,2010
65,FC Midtjylland,Brian Priske,33,Right-Back,Denmark,0,Vejle BK,Denmark,loan transfer,in,2010
66,FC Midtjylland,Sly,19,Centre-Forward,Nigeria,1500000,IfS (FCM II),Denmark,0,in,2010
67,FC Midtjylland,Rasmus Christensen,18,Left Midfield,Denmark,150000,Midtjylland U19,Denmark,0,in,2010
68,FC Midtjylland,Jesper Lauridsen,19,Left-Back,Denmark,350000,Midtjylland U19,Denmark,0,in,2010
69,FC Midtjylland,George Florescu,26,Defensive Midfield,Romania,0,Spartak V-kavkaz,Russia,"End of loanJun 30, 2010",in,2010
70,FC Midtjylland,Ken Fagerberg,21,Centre-Forward,Sweden,0,Örgryte,Sweden,"End of loanJun 30, 2010",in,2010
71,FC Midtjylland,Winston Reid,22,Centre-Back,New Zealand,1500000,West Ham,England,4200000,out,2010
72,FC Midtjylland,Leon Jessen,24,Left-Back,Denmark,0,1.FC K'lautern,Germany,800000,out,2010
73,FC Midtjylland,George Florescu,26,Defensive Midfield,Romania,0,Spartak V-kavkaz,Russia,400000,out,2010
74,FC Midtjylland,Kolja Afriyie,28,Right-Back,Germany,0,Energie Cottbus,Germany,200000,out,2010
75,FC Midtjylland,Martin Raska,33,Goalkeeper,Czech Republic,0,Spartak Trnava,Slovakia,free transfer,out,2010
76,FC Midtjylland,Jude Nworuh,21,Centre-Forward,Nigeria,200000,FC Fredericia,Denmark,loan transfer,out,2010
77,FC Midtjylland,Baba Collins,21,Second Striker,Nigeria,300000,Spartak V-kavkaz,Russia,loan transfer,out,2010
78,Aalborg BK,Nicolai Larsen,19,Goalkeeper,Denmark,400000,Lyngby BK U19,Denmark,0,in,2010
79,Aalborg BK,Dickson Nwakaeme,24,Centre-Forward,Nigeria,300000,FC Oulun Pallo,Finland,loan transfer,in,2010
80,Aalborg BK,Jones Kusi-Asare,30,Centre-Forward,Sweden,0,Esbjerg fB,Denmark,loan transfer,in,2010
81,Aalborg BK,Denis Dedovic,18,Centre-Back,Denmark,0,Aalborg BK U19,Denmark,0,in,2010
82,Aalborg BK,Tobias Örtoft,18,Centre-Back,Denmark,25000,Aalborg BK U19,Denmark,0,in,2010
83,Aalborg BK,Kasper Kusk,18,Right Winger,Denmark,700000,Aalborg BK U19,Denmark,0,in,2010
84,Aalborg BK,Nicklas Helenius,19,Centre-Forward,Denmark,350000,Aalborg BK U19,Denmark,0,in,2010
85,Aalborg BK,Michael Jakobsen,24,Centre-Back,Denmark,300000,UD Almería,Spain,1000000,out,2010
86,Aalborg BK,Andreas Johansson,31,Central Midfield,Sweden,0,Odense BK,Denmark,free transfer,out,2010
87,Aalborg BK,Michael Sten,20,Centre-Back,Denmark,25000,Ventura County,United States,free transfer,out,2010
