,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
0,AIK,Mohamed Bangura,20,Left Winger,Sierra Leone,0,Kallon FC,Sierra Leone,70000,in,2010
1,AIK,Helgi Danielsson,31,Defensive Midfield,Iceland,25000,Hansa Rostock,Germany,free transfer,in,2010
2,AIK,Goran Ljubojevic,27,Centre-Forward,Croatia,0,NK Zagreb,Croatia,free transfer,in,2010
3,AIK,Robert Ahman-Persson,23,Defensive Midfield,Sweden,0,Malmö FF,Sweden,free transfer,in,2010
4,AIK,Admir Catovic,22,Centre-Forward,Sweden,0,AFC Eskilstuna,Sweden,free transfer,in,2010
5,AIK,Nicklas Maripuu,18,Defensive Midfield,Sweden,150000,AFC Eskilstuna,Sweden,free transfer,in,2010
6,AIK,Ivan Turina,29,Goalkeeper,Croatia,0,Dinamo Zagreb,Croatia,0,in,2010
7,AIK,Saihou Jagne,23,Right Winger,The Gambia,275000,GIF Sundsvall,Sweden,"End of loanAug 1, 2010",in,2010
8,AIK,Martin Mutumba,25,Left Midfield,Uganda,0,Videoton FC,Hungary,400000,out,2010
9,AIK,Bojan Djordjic,28,Left Winger,Sweden,0,Videoton FC,Hungary,300000,out,2010
10,AIK,Miran Burgic,25,Centre-Forward,Slovenia,0,FC Wacker,Austria,free transfer,out,2010
11,AIK,Jorge Ortiz,26,Central Midfield,Argentina,50000,Arsenal Sarandí,Argentina,free transfer,out,2010
12,AIK,Kevin Walker,21,Defensive Midfield,Sweden,250000,Assyriska FF,Sweden,loan transfer,out,2010
13,AIK,Sebastián Eguren,29,Defensive Midfield,Uruguay,0,Villarreal,Spain,"End of loanJun 30, 2010",out,2010
14,AIK,Clécio,22,Defensive Midfield,Brazil,0,Morrinhos-GO,Brazil,"End of loanJun 30, 2010",out,2010
15,Malmö FF,Robert Ahman-Persson,23,Defensive Midfield,Sweden,0,AIK,Sweden,free transfer,out,2010
16,Malmö FF,Edward Ofere,24,Centre-Forward,Nigeria,200000,Lecce,Italy,0,out,2010
17,Helsingborgs IF,Alexander Gerndt,23,Centre-Forward,Sweden,200000,Gefle,Sweden,500000,in,2010
18,Helsingborgs IF,Mohamed Ramadan,19,Centre-Forward,Lebanon,75000,Kvarnby IK,Sweden,0,in,2010
19,Helsingborgs IF,René Makondele,28,Left Winger,DR Congo,0,Häcken,Sweden,500000,out,2010
20,Helsingborgs IF,Samuel Aziz,19,Centre-Forward,Sweden,75000,Varbergs BoIS,Sweden,free transfer,out,2010
21,Helsingborgs IF,Mohamed Ramadan,20,Centre-Forward,Lebanon,75000,Ängelholm,Sweden,loan transfer,out,2010
22,Helsingborgs IF,Samuel Aziz,19,Centre-Forward,Sweden,75000,Ängelholm,Sweden,loan transfer,out,2010
23,Helsingborgs IF,Rachid Bouaouzan,26,Left Midfield,Netherlands,0,Wigan,England,"End of loanJun 30, 2010",out,2010
24,Trelleborgs FF,Ade Runsewe,20,Right Winger,Nigeria,100000,FC Hjörring,Denmark,free transfer,in,2010
25,Trelleborgs FF,Ibrahim Koroma,21,Defensive Midfield,Sierra Leone,0,Motala AIF,Sweden,0,in,2010
26,Trelleborgs FF,Tuomo Turunen,22,Centre-Back,Finland,0,IFK Göteborg,Sweden,loan transfer,in,2010
27,Trelleborgs FF,Rasmus Östman,22,Attacking Midfield,Sweden,0,Brage,Sweden,"End of loanJun 30, 2010",in,2010
28,IFK Göteborg,August Strömberg,18,Goalkeeper,Sweden,150000,IFK U19,Sweden,0,in,2010
29,IFK Göteborg,Joel Allansson,17,Central Midfield,Sweden,400000,IFK U19,Sweden,0,in,2010
30,IFK Göteborg,Niclas Andersén,17,Left-Back,Sweden,150000,IFK U19,Sweden,0,in,2010
31,IFK Göteborg,Kim Christensen,30,Goalkeeper,Denmark,0,FC Copenhagen,Denmark,400000,out,2010
32,IFK Göteborg,Fredrik Risp,29,Centre-Back,Sweden,0,Esbjerg fB,Denmark,free transfer,out,2010
33,IFK Göteborg,Gustav Svensson,23,Defensive Midfield,Sweden,300000,Bursaspor,Turkey,0,out,2010
34,IFK Göteborg,Tuomo Turunen,22,Centre-Back,Finland,0,Trelleborg,Sweden,loan transfer,out,2010
35,Halmstads BK,Guri Baqaj,19,Centre-Forward,Kosovo,0,UC AlbinoLeffe,Italy,loan transfer,in,2010
36,Halmstads BK,Michael Thomas,22,Defensive Midfield,United States,175000,Ljungskile,Sweden,free transfer,out,2010
37,Halmstads BK,Nauzet Pérez,26,Goalkeeper,Spain,150000,No club,No country,0,out,2010
38,Halmstads BK,Iván Díaz,32,Central Midfield,Spain,0,No club,No country,0,out,2010
39,Djurgardens IF,Daniel Jarl,18,Centre-Back,Sweden,300000,Enköpings SK,Sweden,0,in,2010
40,Djurgardens IF,Gabriel Ahmed,21,Central Midfield,Ghana,0,MD FF Köping,Sweden,0,in,2010
41,Djurgardens IF,Lucho,25,Left-Back,Argentina,300000,FC Sheriff,Moldova,loan transfer,in,2010
42,Djurgardens IF,Shqipran Skeraj,25,Left-Back,Kosovo,0,No club,No country,0,in,2010
43,Djurgardens IF,Adam Outinen,17,defence,Sweden,0,Sirius,Sweden,free transfer,out,2010
44,Örebro SK,Astrit Ajdarevic,20,Central Midfield,Albania,150000,Leicester,England,free transfer,in,2010
45,Örebro SK,Anthony Flood,25,Centre-Forward,Ireland,0,Galway United,Ireland,free transfer,in,2010
46,Örebro SK,Denis Abdulahi,20,Defensive Midfield,Finland,0,FC Viikingit,Finland,0,in,2010
47,Örebro SK,Henri Belle,21,Centre-Forward,Cameroon,200000,Union Douala,Cameroon,loan transfer,in,2010
48,Örebro SK,Simon Nurme,27,Goalkeeper,Sweden,0,No club,No country,0,in,2010
49,Örebro SK,Kim Olsen,31,Centre-Forward,Denmark,0,Vejle BK,Denmark,0,out,2010
50,IF Elfsborg,Jesper Christiansen,32,Goalkeeper,Denmark,0,FC Copenhagen,Denmark,670000,in,2010
51,IF Elfsborg,Jon Jönsson,26,Centre-Back,Sweden,100000,Bröndby IF,Denmark,500000,in,2010
52,IF Elfsborg,Andréas Klarström,32,Right-Back,Sweden,0,Esbjerg fB,Denmark,free transfer,in,2010
53,IF Elfsborg,Richard Yarsuvat,18,Centre-Forward,Sweden,250000,IF Elfsborg U19,Sweden,0,in,2010
54,IF Elfsborg,Anton Wede,20,Left Midfield,Sweden,150000,IF Elfsborg U21,Sweden,0,in,2010
55,IF Elfsborg,Abbas Hassan,25,Goalkeeper,Lebanon,0,Aalborg BK,Denmark,"End of loanJun 30, 2010",in,2010
56,IF Elfsborg,Elmin Kurbegovic,23,Defensive Midfield,Sweden,0,Novara,Italy,"End of loanJun 30, 2010",in,2010
57,IF Elfsborg,Andreas Andersson,20,Goalkeeper,Sweden,200000,FC Trollhättan,Sweden,"End of loanMay 1, 2011",in,2010
58,IF Elfsborg,Emir Bajrami,22,Right Winger,Sweden,0,Twente FC,Netherlands,3500000,out,2010
59,IF Elfsborg,Abbas Hassan,25,Goalkeeper,Lebanon,0,Norrköping,Sweden,free transfer,out,2010
60,IF Elfsborg,Jesper Florén,19,Right-Back,Sweden,50000,GAIS,Sweden,loan transfer,out,2010
61,BK Häcken,René Makondele,28,Left Winger,DR Congo,0,Helsingborg,Sweden,500000,in,2010
62,BK Häcken,Kari Arkivuo,27,Left-Back,Finland,0,Go Ahead Eagles,Netherlands,free transfer,in,2010
63,BK Häcken,Everton,28,Right Midfield,Brazil,0,APO Levadiakos,Greece,free transfer,out,2010
64,BK Häcken,Jonatan Ask,19,Centre-Back,Sweden,0,Qviding,Sweden,loan transfer,out,2010
65,BK Häcken,Kayke Rodrigues,22,Centre-Forward,Brazil,600000,Venda Nova-MG,Brazil,"End of loanJun 30, 2010",out,2010
66,IFK Norrköping,Bruninho,26,Centre-Forward,Brazil,100000,Ceará SC,Brazil,free transfer,in,2010
67,IFK Norrköping,Abbas Hassan,25,Goalkeeper,Lebanon,0,Elfsborg,Sweden,free transfer,in,2010
68,IFK Norrköping,Gunnar Thór Gunnarsson,25,Centre-Back,Iceland,25000,KR Reykjavík,Iceland,free transfer,out,2010
69,IFK Norrköping,Timmy Wilhelmsson,21,Centre-Forward,Sweden,0,Sylvia,Sweden,"End of loanJun 30, 2010",out,2010
70,Kalmar FF,Johan Bertilsson,22,Second Striker,Sweden,300000,Degerfors,Sweden,0,in,2010
71,Kalmar FF,Douglas,22,Centre-Forward,Brazil,200000,S. E. R. Santo Ângelo (RS),Brazil,loan transfer,in,2010
72,Kalmar FF,Daryl Smylie,24,Attacking Midfield,Northern Ireland,250000,Jönköping,Sweden,loan transfer,out,2010
73,Kalmar FF,Johann Smith,23,Left-Back,United States,100000,No club,No country,0,out,2010
74,Gefle IF,Alexander Gerndt,23,Centre-Forward,Sweden,200000,Helsingborg,Sweden,500000,out,2010
75,Gefle IF,Jonatan Berg,25,Right Midfield,Sweden,0,Taranto,Italy,0,out,2010
76,Gefle IF,Haruna Moshi,26,Attacking Midfield,Tanzania,100000,No club,No country,0,out,2010
77,Gefle IF,Hans Berggren,38,Centre-Forward,Sweden,0,No club,No country,0,out,2010
78,GAIS Göteborg,Jimmy Tamandi,30,Right-Back,Sweden,75000,FK Lyn,Norway,free transfer,in,2010
79,GAIS Göteborg,Jonas Lindberg,21,Centre-Forward,Sweden,100000,Skövde AIK,Sweden,0,in,2010
80,GAIS Göteborg,Jesper Florén,19,Right-Back,Sweden,50000,Elfsborg,Sweden,loan transfer,in,2010
81,GAIS Göteborg,Wanderson,24,Centre-Forward,Brazil,0,Ahli,Saudi Arabia,1400000,out,2010
82,GAIS Göteborg,Kyle Patterson,24,Right Midfield,England,50000,Hednesford,England,free transfer,out,2010
83,GAIS Göteborg,Tommy Lycén,28,Left Midfield,Sweden,0,Örgryte,Sweden,free transfer,out,2010
84,Syrianska FC,Imad Zatara,25,Right Midfield,Palästina,0,Nîmes Olympique,France,"End of loanJun 30, 2010",in,2010
85,Syrianska FC,Tonis Vanna,26,Centre-Back,Estonia,0,Dalkurd,Sweden,free transfer,out,2010
86,AIK,Edward Owusu,17,Defensive Midfield,Sweden,0,IF Bromma U21,Sweden,0,in,2011
87,AIK,Lalawélé Atakora,20,Left Winger,Togo,300000,Fredrikstad,Norway,loan transfer,in,2011
88,AIK,Christian Kouakou,16,Centre-Forward,Sweden,500000,AIK U19,Sweden,0,in,2011
89,AIK,Teteh Bangura,21,Centre-Forward,Sierra Leone,0,Bursaspor,Turkey,3300000,out,2011
90,AIK,Mohamed Bangura,22,Left Winger,Sierra Leone,0,Celtic,Scotland,2200000,out,2011
91,AIK,Kevin Walker,22,Defensive Midfield,Sweden,250000,GIF Sundsvall,Sweden,loan transfer,out,2011
92,Malmö FF,Mathias Ranégie,27,Centre-Forward,Sweden,0,Häcken,Sweden,1500000,in,2011
93,Malmö FF,Miiko Albornoz,20,Left-Back,Chile,600000,Brommapojkarna,Sweden,0,in,2011
94,Malmö FF,Omid Nazari,20,Central Midfield,Philippines,250000,Malmö U19,Sweden,0,in,2011
95,Malmö FF,Guillermo Molins,22,Centre-Forward,Sweden,200000,RSC Anderlecht,Belgium,500000,out,2011
96,Malmö FF,Yago Fernández,23,Centre-Back,Portugal,0,Girona,Spain,free transfer,out,2011
97,Malmö FF,Filip Stenström,19,Left-Back,Sweden,0,Bunkeflo,Sweden,loan transfer,out,2011
98,Helsingborgs IF,Erlend Hanstveit,30,Left-Back,Norway,0,KAA Gent,Belgium,free transfer,in,2011
99,Helsingborgs IF,Álvaro Santos,31,Centre-Forward,Brazil,0,Örgryte,Sweden,0,in,2011
100,Helsingborgs IF,Thomas Sörum,28,Centre-Forward,Norway,0,Haugesund,Norway,0,in,2011
101,Helsingborgs IF,Jörgen Skjelvik,20,Left-Back,Norway,400000,Stabæk Fotball,Norway,loan transfer,in,2011
102,Helsingborgs IF,Sebastian Carlsén,20,Defensive Midfield,Sweden,75000,Inter U19,Italy,loan transfer,in,2011
103,Helsingborgs IF,Gudjón Lýdsson,23,Central Midfield,Iceland,150000,Valur,Iceland,loan transfer,in,2011
104,Helsingborgs IF,Rafael Porcellis,24,Centre-Forward,Brazil,225000,Värnamo,Sweden,"End of loanJun 30, 2011",in,2011
105,Helsingborgs IF,Mohamed Ramadan,20,Centre-Forward,Lebanon,75000,Ängelholm,Sweden,"End of loanAug 1, 2011",in,2011
106,Helsingborgs IF,Samuel Aziz,19,Centre-Forward,Sweden,75000,Ängelholm,Sweden,"End of loanJun 30, 2011",in,2011
107,Helsingborgs IF,Alexander Gerndt,25,Centre-Forward,Sweden,200000,FC Utrecht,Netherlands,4800000,out,2011
108,Helsingborgs IF,Rasmus Jönsson,21,Centre-Forward,Sweden,300000,VfL Wolfsburg,Germany,3400000,out,2011
109,Helsingborgs IF,Marcus Nilsson,23,Centre-Back,Sweden,0,FC Utrecht,Netherlands,1100000,out,2011
110,Helsingborgs IF,Rafael Porcellis,24,Centre-Forward,Brazil,225000,CD Fátima,Portugal,0,out,2011
111,Helsingborgs IF,Abbe Khalili,19,Central Midfield,Sweden,1000000,Värnamo,Sweden,loan transfer,out,2011
112,Helsingborgs IF,Marcus Bergholtz,21,Defensive Midfield,Sweden,150000,Stabæk Fotball,Norway,loan transfer,out,2011
113,Helsingborgs IF,Peter Larsson,27,Centre-Back,Sweden,0,FC Copenhagen,Denmark,"End of loanAug 1, 2011",out,2011
114,IFK Göteborg,Emil Salomonsson,22,Right-Back,Sweden,1000000,Halmstads BK,Sweden,400000,in,2011
115,IFK Göteborg,Philip Haglund,24,Defensive Midfield,Sweden,600000,Heerenveen,Netherlands,0,in,2011
116,IFK Göteborg,David Moberg Karlsson,17,Right Winger,Sweden,2200000,IFK U19,Sweden,0,in,2011
117,IFK Göteborg,Thomas Olsson,35,Central Midfield,Sweden,0,Atvidaberg,Sweden,"End of loanOct 1, 2011",in,2011
118,IFK Göteborg,Ragnar Sigurdsson,25,Centre-Back,Iceland,300000,FC Copenhagen,Denmark,800000,out,2011
