,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
0,Vålerenga Fotball,Fegor Ogude,23,Defensive Midfield,Nigeria,0,Warri Wolves FC,Nigeria,0,in,2010
1,Vålerenga Fotball,Mohammed Abdellaoue,24,Centre-Forward,Norway,0,Hannover 96,Germany,1000000,out,2010
2,Vålerenga Fotball,Juan Fuenmayor,30,Centre-Back,Venezuela,0,Dep. Anzoátegui,Venezuela,0,out,2010
3,Rosenborg BK,Mattias Bjärsmyr,24,Centre-Back,Sweden,200000,Panathinaikos,Greece,Loan fee:200000,in,2010
4,Rosenborg BK,Bakary Bouba Saré,20,Central Midfield,Burkina Faso,200000,RSC Anderlecht,Belgium,loan transfer,in,2010
5,Rosenborg BK,Tom Erik Nordberg,25,Centre-Back,Norway,0,Ranheim IL,Norway,0,in,2010
6,Rosenborg BK,Jonas Svensson,18,Right-Back,Norway,4500000,Rosenborg BK Yo,Norway,0,in,2010
7,Rosenborg BK,Michael Jamtfall,23,Right Winger,Norway,0,Ranheim IL,Norway,"End of loanAug 31, 2010",in,2010
8,Rosenborg BK,Pal André Helland,20,Right Winger,Norway,500000,Ranheim IL,Norway,"End of loanJun 30, 2010",in,2010
9,Rosenborg BK,Kris Stadsgaard,25,Centre-Back,Denmark,0,Málaga CF,Spain,2000000,out,2010
10,Rosenborg BK,Abdou Traoré,21,Attacking Midfield,Burkina Faso,350000,Lechia Gdansk,Poland,Loan fee:50000,out,2010
11,Rosenborg BK,Kjell Rune Sellin,21,Centre-Forward,Norway,0,Kongsvinger,Norway,loan transfer,out,2010
12,Viking Stavanger,Erik Nevland,32,Centre-Forward,Norway,0,Fulham,England,free transfer,in,2010
13,Viking Stavanger,Toni Kallio,31,Centre-Back,Finland,0,Fulham,England,free transfer,in,2010
14,Viking Stavanger,Artur Kotenko,28,Goalkeeper,Estonia,25000,AE Pafos ,Cyprus,0,out,2010
15,Viking Stavanger,Andreas Andersen,21,Right Winger,Norway,100000,Sandnes Ulf,Norway,loan transfer,out,2010
16,Viking Stavanger,Stefán Gíslason,30,Defensive Midfield,Iceland,0,Bröndby IF,Denmark,"End of loanAug 1, 2010",out,2010
17,IK Start,Espen Hoff,28,Right Winger,Norway,0,Stabæk Fotball,Norway,0,in,2010
18,IK Start,Fredrik Strömstad,28,Attacking Midfield,Norway,0,Le Mans FC,France,loan transfer,in,2010
19,IK Start,Espen Knudsen,19,Centre-Back,Norway,0,IK Start Youth,Norway,0,in,2010
20,IK Start,Bernt Hulsker,32,Centre-Forward,Norway,0,Stabæk Fotball,Norway,"End of loanAug 1, 2010",in,2010
21,IK Start,Christian Bolaños,26,Right Winger,Costa Rica,100000,FC Copenhagen,Denmark,1000000,out,2010
22,IK Start,Geir Ludvig Fevang,29,Attacking Midfield,Norway,0,KSC Lokeren,Belgium,0,out,2010
23,Lillestrøm SK,Mads Dahm,21,Centre-Back,Norway,0,FK Lyn,Norway,free transfer,in,2010
24,Lillestrøm SK,Fredrik Gulbrandsen,17,Centre-Forward,Norway,2800000,FK Lyn,Norway,"End of loanJun 30, 2010",in,2010
25,Lillestrøm SK,Olivier Occéan,28,Centre-Forward,Canada,0,K. Offenbach,Germany,free transfer,out,2010
26,Lillestrøm SK,Tamandani Nsaliwa,28,Defensive Midfield,Germany,0,AEK Athens,Greece,"End of loanJun 30, 2010",out,2010
27,Lillestrøm SK,Tarik Elyounoussi,22,Centre-Forward,Norway,700000,Heerenveen,Netherlands,"End of loanJun 30, 2010",out,2010
28,Molde FK,Daniel Chima Chukwu,19,Centre-Forward,Nigeria,250000,FK Lyn,Norway,free transfer,in,2010
29,Molde FK,Espen Bugge Pettersen,30,Goalkeeper,Norway,0,Sandefjord,Norway,0,in,2010
30,Molde FK,Rune Ertsas,23,Centre-Forward,Norway,0,Sandefjord,Norway,"End of loanJun 30, 2010",in,2010
